clu_id,TRT,PPVT_FallK,ETW_FallK,ETW_SpringK,RTW_SpringK,trt_e,clus_PPVT,clus_TRT,clus_trt_e,meanppvt,ppvtc1,ppvtc2,mean_trt_e,ctrt_e1,ctrt_e2
1,1,88,1,15,15,0.5,82.833336,0.5,0,84.260506,5.1666641,-1.4271698,0.016806724,0.5,-0.016806724
1,1,81,0,9,14,0.5,82.833336,0.5,0,84.260506,-1.8333359,-1.4271698,0.016806724,0.5,-0.016806724
1,1,84,2,15,16,0.5,82.833336,0.5,0,84.260506,1.1666641,-1.4271698,0.016806724,0.5,-0.016806724
1,0,83,0,3,7,-0.5,82.833336,0.5,0,84.260506,0.16666412,-1.4271698,0.016806724,-0.5,-0.016806724
1,0,83,0,2,8,-0.5,82.833336,0.5,0,84.260506,0.16666412,-1.4271698,0.016806724,-0.5,-0.016806724
1,0,78,2,8,7,-0.5,82.833336,0.5,0,84.260506,-4.8333359,-1.4271698,0.016806724,-0.5,-0.016806724
2,1,71,0,7,12,0.5,83,0.42857143,-0.071428575,84.260506,-12,-1.2605057,0.016806724,0.5714286,-0.088235296
2,0,87,0,18,13,-0.5,83,0.42857143,-0.071428575,84.260506,4,-1.2605057,0.016806724,-0.42857143,-0.088235296
2,0,85,2,4,9,-0.5,83,0.42857143,-0.071428575,84.260506,2,-1.2605057,0.016806724,-0.42857143,-0.088235296
2,1,90,0,10,12,0.5,83,0.42857143,-0.071428575,84.260506,7,-1.2605057,0.016806724,0.5714286,-0.088235296
2,0,75,0,2,5,-0.5,83,0.42857143,-0.071428575,84.260506,-8,-1.2605057,0.016806724,-0.42857143,-0.088235296
2,0,90,0,28,13,-0.5,83,0.42857143,-0.071428575,84.260506,7,-1.2605057,0.016806724,-0.42857143,-0.088235296
2,1,83,0,8,7,0.5,83,0.42857143,-0.071428575,84.260506,0,-1.2605057,0.016806724,0.5714286,-0.088235296
3,0,89,11,23,16,-0.5,85.166664,0.66666669,0.16666667,84.260506,3.8333359,0.90615845,0.016806724,-0.66666669,0.14985995
3,1,90,2,19,16,0.5,85.166664,0.66666669,0.16666667,84.260506,4.8333359,0.90615845,0.016806724,0.33333331,0.14985995
3,0,81,0,0,5,-0.5,85.166664,0.66666669,0.16666667,84.260506,-4.1666641,0.90615845,0.016806724,-0.66666669,0.14985995
3,1,87,5,26,14,0.5,85.166664,0.66666669,0.16666667,84.260506,1.8333359,0.90615845,0.016806724,0.33333331,0.14985995
3,1,88,1,10,11,0.5,85.166664,0.66666669,0.16666667,84.260506,2.8333359,0.90615845,0.016806724,0.33333331,0.14985995
3,1,76,0,12,14,0.5,85.166664,0.66666669,0.16666667,84.260506,-9.1666641,0.90615845,0.016806724,0.33333331,0.14985995
4,1,84,0,9,11,0.5,82.714287,0.5714286,0.071428575,84.260506,1.2857132,-1.5462189,0.016806724,0.42857143,0.054621853
4,1,74,0,2,10,0.5,82.714287,0.5714286,0.071428575,84.260506,-8.7142868,-1.5462189,0.016806724,0.42857143,0.054621853
4,0,73,0,3,8,-0.5,82.714287,0.5714286,0.071428575,84.260506,-9.7142868,-1.5462189,0.016806724,-0.5714286,0.054621853
4,0,85,0,4,6,-0.5,82.714287,0.5714286,0.071428575,84.260506,2.2857132,-1.5462189,0.016806724,-0.5714286,0.054621853
4,1,88,2,16,16,0.5,82.714287,0.5714286,0.071428575,84.260506,5.2857132,-1.5462189,0.016806724,0.42857143,0.054621853
4,1,89,0,20,12,0.5,82.714287,0.5714286,0.071428575,84.260506,6.2857132,-1.5462189,0.016806724,0.42857143,0.054621853
4,0,86,1,3,10,-0.5,82.714287,0.5714286,0.071428575,84.260506,3.2857132,-1.5462189,0.016806724,-0.5714286,0.054621853
5,1,77,2,8,6,0.5,80.5,0.5,0,84.260506,-3.5,-3.7605057,0.016806724,0.5,-0.016806724
5,0,76,0,6,6,-0.5,80.5,0.5,0,84.260506,-4.5,-3.7605057,0.016806724,-0.5,-0.016806724
5,0,79,0,3,7,-0.5,80.5,0.5,0,84.260506,-1.5,-3.7605057,0.016806724,-0.5,-0.016806724
5,1,78,0,2,6,0.5,80.5,0.5,0,84.260506,-2.5,-3.7605057,0.016806724,0.5,-0.016806724
5,1,91,,20,13,0.5,80.5,0.5,0,84.260506,10.5,-3.7605057,0.016806724,0.5,-0.016806724
5,0,82,0,5,8,-0.5,80.5,0.5,0,84.260506,1.5,-3.7605057,0.016806724,-0.5,-0.016806724
6,1,85,3,19,16,0.5,86.666664,0.5,0,84.260506,-1.6666641,2.4061584,0.016806724,0.5,-0.016806724
6,0,89,0,27,15,-0.5,86.666664,0.5,0,84.260506,2.3333359,2.4061584,0.016806724,-0.5,-0.016806724
6,1,87,1,20,12,0.5,86.666664,0.5,0,84.260506,0.33333588,2.4061584,0.016806724,0.5,-0.016806724
6,0,81,0,15,11,-0.5,86.666664,0.5,0,84.260506,-5.6666641,2.4061584,0.016806724,-0.5,-0.016806724
6,0,90,3,25,16,-0.5,86.666664,0.5,0,84.260506,3.3333359,2.4061584,0.016806724,-0.5,-0.016806724
6,1,88,0,33,16,0.5,86.666664,0.5,0,84.260506,1.3333359,2.4061584,0.016806724,0.5,-0.016806724
7,0,84,0,7,8,-0.5,83.5,0.5,0,84.260506,0.5,-0.76050568,0.016806724,-0.5,-0.016806724
7,1,89,5,9,16,0.5,83.5,0.5,0,84.260506,5.5,-0.76050568,0.016806724,0.5,-0.016806724
7,1,82,0,4,8,0.5,83.5,0.5,0,84.260506,-1.5,-0.76050568,0.016806724,0.5,-0.016806724
